time,use [kW],Dishwasher [kW],Furnace [kW],Home office [kW],Fridge [kW],Wine cellar [kW],Garage door [kW],Kitchen [kW],Barn [kW],Microwave [kW],Living room [kW],temperature,humidity,windSpeed,dayofweek
2016-01-01 05:00:00,62.64778,0.00382,23.59128,14.50885,2.27167,3.80103,0.78277,0.04923,2.33283,1.2991,0.09028,36.13,0.62,9.15,4
2016-01-01 06:00:00,55.09002,0.00595,27.40245,2.59762,4.53132,6.7765,0.77017,0.04492,2.35088,0.25297,0.09708,35.84,0.61,8.28,4
2016-01-01 07:00:00,42.88417,0.00255,22.3302,2.60497,3.56913,0.43105,0.79792,0.04358,2.06635,0.25473,0.09772,35.38,0.61,7.93,4
2016-01-01 08:00:00,57.60077,0.0083,36.98222,3.90083,3.62472,0.42268,0.77552,0.04833,2.0517,0.25645,0.09807,35.28,0.64,5.68,4
2016-01-01 09:00:00,38.39018,0.00362,20.63055,2.6035,2.10635,0.42857,0.7932,0.04775,1.90978,0.25547,0.099,35.45,0.64,6.98,4
2016-01-01 10:00:00,73.16497,0.00433,51.64023,2.59428,3.07968,0.4314,0.78348,0.04492,2.0485,0.25508,0.09727,35.21,0.65,6.47,4
2016-01-01 11:00:00,47.92483,0.00503,27.3113,2.59605,3.56162,0.42685,0.78702,0.04733,1.9057,0.25272,0.09638,35.01,0.66,6.35,4
2016-01-01 12:00:00,32.22328,0.00523,16.21315,2.56995,2.92345,0.41883,0.77482,0.04717,1.86763,0.25532,0.0956,35.0,0.67,5.83,4
2016-01-01 13:00:00,21.5026,0.00037,5.07638,2.50668,2.65668,0.42428,0.7859,0.04063,1.81105,0.25237,0.09372,35.09,0.67,5.86,4
2016-01-01 14:00:00,45.40322,0.00387,13.90035,2.5033,1.60322,0.41828,0.77172,4.87103,1.71895,0.83622,18.91052,36.11,0.64,5.41,4
2016-01-01 15:00:00,88.23483,0.00638,40.85393,2.49102,2.62847,0.4315,0.77382,0.04118,1.70112,0.25382,20.02723,36.9,0.62,5.96,4
2016-01-01 16:00:00,79.29818,0.00678,30.663,5.68283,7.27212,0.4475,0.77613,0.0444,2.29195,1.70763,8.70505,37.05,0.61,8.26,4
2016-01-01 17:00:00,115.00132,0.00612,28.04883,2.47918,7.10358,1.54828,0.7736,0.04502,1.7698,0.24773,6.04532,37.24,0.59,9.53,4
2016-01-01 18:00:00,125.72338,0.0152,37.35105,2.49293,6.82317,7.38933,0.73285,5.35335,1.73905,1.666,5.97493,37.16,0.59,8.59,4
2016-01-01 19:00:00,78.2594,29.26215,15.73628,2.48847,7.00585,3.57025,1.03833,0.64738,2.15327,0.24655,2.02807,36.88,0.59,7.35,4
2016-01-01 20:00:00,76.2767,30.11588,20.18422,2.45285,6.53655,0.42558,0.7517,0.05647,2.47038,3.91282,0.09087,36.22,0.61,8.08,4
2016-01-01 21:00:00,89.09918,0.0514,26.49693,2.5136,6.47225,0.42532,1.04337,0.04457,30.23123,0.2523,2.4895,35.33,0.63,8.36,4
2016-01-01 22:00:00,115.7258,0.00627,26.70372,2.5385,6.77285,0.44007,0.75987,0.054,30.55073,0.25707,5.94022,34.28,0.67,7.71,4
2016-01-01 23:00:00,121.8189,0.00392,20.90393,2.54337,14.19763,0.43605,0.7562,0.04855,6.65203,0.24678,5.99485,33.24,0.69,8.57,4
2016-01-02 00:00:00,165.50632,0.00515,29.90062,4.89558,8.94835,0.43865,0.75412,0.0427,2.87493,3.77003,9.62253,32.4,0.69,8.31,5
2016-01-02 01:00:00,85.87202,0.00662,24.42063,16.53518,0.54947,0.43227,0.76148,6.19293,2.26085,0.82625,12.12487,31.65,0.64,7.55,5
2016-01-02 02:00:00,56.717,0.00127,10.24865,27.90597,4.75595,0.4335,0.77828,0.04395,2.56573,0.24855,0.09652,31.1,0.62,7.15,5
2016-01-02 03:00:00,46.45627,0.00293,10.05257,25.3264,0.2903,0.43648,0.78373,0.06223,2.25137,0.25362,0.09843,30.6,0.6,7.96,5
2016-01-02 04:00:00,89.34038,31.16942,27.42547,5.4378,2.39857,0.42328,0.74232,0.0705,2.08553,0.25918,0.08943,30.13,0.6,8.06,5
2016-01-02 05:00:00,80.96408,25.44132,31.67443,3.05522,4.7604,0.43557,0.77417,0.05543,2.08073,0.25425,0.09653,29.64,0.6,8.04,5
2016-01-02 06:00:00,46.17923,6.3779,23.38373,3.06478,0.30372,0.422,0.78078,0.05542,2.08107,0.2536,0.09775,28.94,0.62,8.04,5
2016-01-02 07:00:00,47.04328,0.01782,21.57793,3.0474,7.47942,0.42943,0.79997,0.03588,2.23887,0.25588,0.09888,29.12,0.63,8.0,5
2016-01-02 08:00:00,59.66803,0.00862,41.97687,3.31043,0.29638,0.41893,0.7665,0.0547,2.06042,0.25303,0.09703,29.52,0.63,7.27,5
2016-01-02 09:00:00,46.71395,0.01418,24.51108,3.08538,5.52487,0.42288,0.78097,0.03972,2.06138,0.25355,0.09658,29.12,0.64,7.5,5
2016-01-02 10:00:00,48.87883,0.01532,31.49173,3.05157,0.362,0.42393,0.78313,0.0519,2.19275,0.25232,0.09638,28.91,0.64,6.48,5
2016-01-02 11:00:00,55.3359,0.01513,32.59288,3.06132,4.81783,0.42468,0.78093,0.04247,2.04535,0.25225,0.09645,28.67,0.63,6.79,5
2016-01-02 12:00:00,96.66232,0.01042,59.19673,2.95538,0.36107,6.37258,0.7568,4.63722,1.93382,1.67152,5.06952,28.86,0.61,7.87,5
2016-01-02 13:00:00,83.65685,0.01147,47.88168,2.98593,5.08127,7.39752,1.04855,0.04508,1.86525,0.25047,10.42462,30.97,0.56,8.16,5
2016-01-02 14:00:00,43.4526,0.00343,22.77345,2.92453,0.64652,0.60612,0.77288,0.04752,1.89575,0.25633,0.08173,32.36,0.53,9.48,5
2016-01-02 15:00:00,43.91285,0.00923,35.34807,2.95955,4.19355,0.43953,0.75003,0.04547,1.88895,0.25342,0.08362,33.85,0.5,10.08,5
2016-01-02 16:00:00,17.2146,0.0058,19.21245,2.95093,2.17647,0.44338,0.77172,0.04768,1.92337,0.25737,0.08645,35.18,0.48,10.52,5
2016-01-02 17:00:00,15.62488,0.0062,16.75828,2.95178,2.23153,0.43478,1.05072,0.04748,1.8957,0.25252,1.34613,35.54,0.47,10.76,5
2016-01-02 18:00:00,37.8279,0.00657,18.08362,2.9462,5.47425,0.43315,1.0516,3.55413,1.8763,1.1273,1.2503,35.54,0.48,10.44,5
2016-01-02 19:00:00,97.48822,0.0032,23.89898,2.92025,0.54267,0.44735,0.77038,0.0611,37.88713,0.25775,5.81678,34.61,0.52,10.44,5
2016-01-02 20:00:00,106.0331,0.00897,44.79772,3.36792,4.25247,0.43358,0.74107,0.05135,28.03493,0.2568,5.84498,34.02,0.54,7.47,5
2016-01-02 21:00:00,129.43495,0.00477,34.45697,5.44148,1.25327,0.43998,0.75007,0.06798,30.62952,0.25557,5.91042,33.49,0.56,6.39,5
2016-01-02 22:00:00,175.45488,0.00352,28.70728,5.92523,3.4574,0.44047,0.75315,0.05543,23.15238,0.25447,6.55058,33.27,0.57,6.36,5
2016-01-02 23:00:00,176.08262,0.00517,23.39013,5.46408,4.69403,1.0667,0.74298,0.05595,25.99488,0.25428,5.96642,33.13,0.57,6.45,5
2016-01-03 00:00:00,104.28015,0.0029,12.79667,5.4854,7.78672,0.43147,0.7557,0.03108,2.40037,0.24525,5.975,33.03,0.58,6.38,6
2016-01-03 01:00:00,124.43158,25.7933,24.43343,18.17443,14.66712,0.4188,0.72275,6.61378,2.5558,0.81703,5.92853,32.82,0.59,6.3,6
2016-01-03 02:00:00,96.7258,27.2114,14.12663,28.8791,7.77168,0.42157,0.75497,0.0593,2.15958,0.24978,5.96728,32.21,0.6,6.36,6
2016-01-03 03:00:00,47.90092,0.03615,5.00927,26.71497,0.29,0.43402,0.78745,0.06087,2.19198,0.25448,6.0586,31.67,0.61,6.34,6
2016-01-03 04:00:00,59.87497,0.01275,13.53217,11.04843,6.47405,0.43748,0.77372,0.03727,2.57137,0.25813,0.465,30.95,0.62,6.6,6
2016-01-03 05:00:00,42.81938,0.01345,25.9619,2.54648,1.49435,0.44207,0.77852,0.0464,2.1879,0.2547,0.09743,30.05,0.64,6.99,6
2016-01-03 06:00:00,52.15162,0.01367,24.8269,2.54303,5.79142,4.75325,0.77847,0.0401,1.89783,0.25172,0.09573,29.41,0.65,6.78,6
2016-01-03 07:00:00,54.29215,0.0128,31.27447,2.54203,1.47038,6.67107,0.77748,0.05237,1.89857,0.24177,0.09702,28.91,0.66,6.66,6
2016-01-03 08:00:00,47.43303,0.01487,25.924,2.53927,4.79815,0.44377,0.7835,0.0392,2.04223,0.23997,0.09733,28.67,0.68,6.94,6
2016-01-03 09:00:00,47.60418,0.01388,31.30752,2.5431,0.30975,0.44288,0.7808,0.04888,2.04265,0.23998,0.0964,27.78,0.71,6.85,6
2016-01-03 10:00:00,49.07903,0.01433,27.93973,2.54088,4.4551,0.4456,0.77953,0.0389,2.03363,0.23995,0.09615,27.55,0.73,7.14,6
2016-01-03 11:00:00,52.6645,0.01488,34.45637,2.53463,1.46207,0.44362,0.77688,0.04697,1.87965,0.2492,0.09528,28.22,0.73,7.11,6
2016-01-03 12:00:00,74.70233,0.0104,46.86887,2.44032,3.1835,0.44517,0.7721,4.45108,1.8072,0.25082,0.09143,31.09,0.68,8.26,6
2016-01-03 13:00:00,44.33115,0.0029,25.66178,2.42695,3.56605,0.45018,0.78408,0.04427,1.76293,0.2504,0.08938,34.55,0.6,9.06,6
2016-01-03 14:00:00,41.1853,0.01027,38.41252,2.44677,1.23083,0.4318,0.75177,0.05428,1.74887,0.2503,0.08807,37.14,0.55,8.47,6
2016-01-03 15:00:00,42.91102,0.00638,26.33353,2.43903,4.58957,0.43242,0.75912,1.29665,1.73715,1.85343,0.0866,38.08,0.53,9.64,6
2016-01-03 16:00:00,74.01517,22.45617,17.60058,2.4497,0.338,0.42205,1.35128,2.32703,31.05805,0.25697,0.07713,39.07,0.51,12.24,6
2016-01-03 17:00:00,68.4955,29.79573,9.41818,2.4464,4.27452,0.4227,0.74152,0.06658,26.83975,0.25857,0.06708,39.51,0.51,11.18,6
2016-01-03 18:00:00,47.01422,0.04438,27.11803,2.44757,2.44338,0.42395,0.74907,0.05778,7.85595,7.51372,0.07627,39.01,0.52,9.88,6
2016-01-03 19:00:00,46.57515,0.0045,25.85592,2.42547,2.54027,2.2159,1.21862,1.9218,1.74145,1.99547,0.0891,38.18,0.54,8.23,6
2016-01-03 20:00:00,82.29817,0.01327,38.82827,2.81727,5.85927,7.41262,0.75203,1.56925,12.71915,0.82233,0.07788,36.95,0.57,7.41,6
2016-01-03 21:00:00,113.17463,0.0048,33.53485,4.89722,1.26195,3.73107,0.76903,0.07077,22.37145,0.25142,5.18842,35.5,0.61,6.3,6
2016-01-03 22:00:00,123.16182,0.0039,28.73455,26.6443,5.32795,0.40978,0.77125,0.05337,8.60862,0.23743,5.86798,34.27,0.66,5.85,6
2016-01-03 23:00:00,114.00637,0.00158,23.6744,34.09142,0.76297,0.40632,0.7753,0.064,2.38153,1.5833,5.91013,33.95,0.66,5.83,6
2016-01-04 00:00:00,97.65613,0.00235,23.42262,10.52313,6.10015,0.42017,0.78382,0.04933,2.31958,5.07508,5.95507,32.41,0.7,4.56,0
2016-01-04 01:00:00,92.32088,0.00207,20.67745,12.72773,0.49583,0.41593,0.77968,6.4404,3.95493,0.23783,4.77412,31.24,0.73,5.76,0
2016-01-04 02:00:00,65.7666,0.00098,4.99967,29.2144,5.61638,0.40402,0.78182,0.0459,1.96568,1.0578,0.10312,29.89,0.78,6.17,0
2016-01-04 03:00:00,42.0279,0.00093,5.13592,26.5508,0.28922,0.40368,0.78648,0.06007,2.0918,0.25302,0.09737,28.75,0.79,6.49,0
2016-01-04 04:00:00,55.54405,0.00477,15.25682,9.9806,4.86627,0.40295,0.7722,0.04187,1.807,0.25705,0.09383,28.63,0.77,7.78,0
2016-01-04 05:00:00,33.55243,0.00488,19.66733,2.54998,0.308,0.41153,0.78147,0.0529,1.81967,0.25527,0.09663,28.97,0.72,9.94,0
2016-01-04 06:00:00,45.16452,0.00527,24.68828,2.5474,4.49408,0.41308,0.77643,0.04183,1.80887,0.25208,0.09585,28.7,0.65,12.21,0
2016-01-04 07:00:00,40.17145,0.00282,23.95105,2.54283,1.11768,0.41573,0.78553,0.04753,1.8101,0.25367,0.0951,27.57,0.62,12.46,0
2016-01-04 08:00:00,55.5461,0.00548,34.80318,2.54025,3.2615,0.4098,0.7718,0.04663,1.80847,0.25105,0.09622,25.81,0.61,12.1,0
2016-01-04 09:00:00,47.85403,0.00438,29.85155,2.5436,2.7406,0.41015,0.7685,0.04433,1.9525,0.25183,0.09492,24.19,0.61,11.38,0
2016-01-04 10:00:00,72.91248,0.00322,50.03527,2.53033,1.66873,2.55912,0.76665,0.04202,2.08563,0.24775,0.09512,22.64,0.62,11.76,0
2016-01-04 11:00:00,61.3512,0.00338,34.09523,2.53395,4.19323,7.38807,0.75925,0.03858,1.78708,0.2489,0.09455,21.76,0.6,12.48,0
2016-01-04 12:00:00,40.48165,0.00887,24.49633,2.45943,0.61825,2.45602,0.7418,0.05637,1.96413,0.2463,0.09083,21.21,0.58,12.01,0
2016-01-04 13:00:00,34.14287,0.00228,14.1284,2.42432,4.20082,0.41217,0.77923,1.56585,1.63088,0.27955,2.57287,21.18,0.55,12.53,0
2016-01-04 14:00:00,67.21038,0.00427,30.1022,2.42907,0.48717,0.4152,0.78358,3.48348,1.58118,2.51715,20.18287,21.52,0.52,12.71,0
2016-01-04 15:00:00,96.7337,23.64878,27.69662,5.84982,7.40442,0.40217,0.74438,0.04052,1.6046,0.24942,16.31468,21.62,0.49,11.73,0
2016-01-04 16:00:00,65.72058,24.78828,23.86847,6.10247,1.576,0.39878,0.74348,0.0677,1.63663,0.24738,0.09062,21.29,0.46,12.91,0
2016-01-04 17:00:00,59.00915,10.32897,25.03278,4.72365,0.86803,0.39152,0.73188,3.65495,1.64247,0.2508,0.09155,20.21,0.45,13.34,0
2016-01-04 18:00:00,37.43223,0.00522,14.19003,7.53367,6.5872,0.40388,0.75925,0.04042,1.65062,5.12282,0.09158,17.91,0.48,14.46,0
2016-01-04 19:00:00,28.51052,0.00472,13.40667,3.96585,0.34208,0.4044,1.23572,1.25788,1.65718,1.70118,0.095,15.21,0.51,13.66,0
2016-01-04 20:00:00,38.36853,0.00287,9.6745,6.9937,4.44067,0.40358,1.20893,0.04425,1.65997,0.25125,0.09428,13.08,0.51,13.24,0
2016-01-04 21:00:00,73.64245,0.01797,38.47873,8.40125,3.0307,0.3922,0.72927,0.06293,1.83192,0.24707,1.36737,11.63,0.52,12.47,0
2016-01-04 22:00:00,123.80462,0.01963,56.96215,11.503,0.29763,0.39517,0.72765,0.07697,2.28538,0.24903,20.32273,10.38,0.55,13.47,0
2016-01-04 23:00:00,125.76155,0.00837,40.50852,11.47963,6.01203,0.45138,0.75117,0.04352,3.48073,0.24665,20.0712,9.32,0.56,13.82,0
2016-01-05 00:00:00,78.93562,0.007,39.04955,3.14428,1.07263,1.11157,0.76032,0.05653,1.93377,4.66325,0.56515,8.64,0.55,13.67,1
2016-01-05 01:00:00,115.63998,0.00728,42.23965,16.40867,7.53948,2.58808,0.747,6.2595,3.25613,0.24632,0.1007,7.54,0.57,11.88,1
