time_hour,use [kW],Dishwasher [kW],Furnace 1 [kW],Furnace 2 [kW],Home office [kW],Fridge [kW],Wine cellar [kW],Garage door [kW],Kitchen 12 [kW],Kitchen 14 [kW],Barn [kW],Microwave [kW],Living room [kW],temperature,windSpeed,dayofweek
2016-01-01 05:00:00,48.7303,0.00382,8.07785,15.51343,14.50885,2.27167,3.80103,0.78277,0.03632,0.01235,2.33283,1.2991,0.09028,36.13,9.15,4
2016-01-01 06:00:00,44.82905,0.00595,14.1942,13.20825,2.59762,4.53132,6.7765,0.77017,0.03325,0.01087,2.35088,0.25297,0.09708,35.84,8.28,4
2016-01-01 07:00:00,32.19733,0.00255,5.96547,16.36473,2.60497,3.56913,0.43105,0.79792,0.03468,0.00803,2.06635,0.25473,0.09772,35.38,7.93,4
2016-01-01 08:00:00,48.16803,0.0083,22.5092,14.47302,3.90083,3.62472,0.42268,0.77552,0.03695,0.0106,2.0517,0.25645,0.09807,35.28,5.68,4
2016-01-01 09:00:00,28.8772,0.00362,9.18,11.45055,2.6035,2.10635,0.42857,0.7932,0.03968,0.00748,1.90978,0.25547,0.099,35.45,6.98,4
2016-01-01 10:00:00,60.97822,0.00433,21.6536,29.98663,2.59428,3.07968,0.4314,0.78348,0.03568,0.00827,2.0485,0.25508,0.09727,35.21,6.47,4
2016-01-01 11:00:00,36.98933,0.00503,10.54668,16.76462,2.59605,3.56162,0.42685,0.78702,0.03538,0.01128,1.9057,0.25272,0.09638,35.01,6.35,4
2016-01-01 12:00:00,25.17028,0.00523,12.38365,3.8295,2.56995,2.92345,0.41883,0.77482,0.0392,0.0071,1.86763,0.25532,0.0956,35.0,5.83,4
2016-01-01 13:00:00,13.64745,0.00037,1.23308,3.8433,2.50668,2.65668,0.42428,0.7859,0.03808,0.00193,1.81105,0.25237,0.09372,35.09,5.86,4
2016-01-01 14:00:00,45.53663,0.00387,7.65687,6.24348,2.5033,1.60322,0.41828,0.77172,0.04073,4.82948,1.71895,0.83622,18.91052,36.11,5.41,4
2016-01-01 15:00:00,69.20783,0.00638,17.1718,23.68213,2.49102,2.62847,0.4315,0.77382,0.02987,0.01068,1.70112,0.25382,20.02723,36.9,5.96,4
2016-01-01 16:00:00,57.5967,0.00678,11.77948,18.88352,5.68283,7.27212,0.4475,0.77613,0.0279,0.0158,2.29195,1.70763,8.70505,37.05,8.26,4
2016-01-01 17:00:00,48.06678,0.00612,11.20382,16.84502,2.47918,7.10358,1.54828,0.7736,0.03175,0.01258,1.7698,0.24773,6.04532,37.24,9.53,4
2016-01-01 18:00:00,69.5372,0.0152,26.71775,10.6333,2.49293,6.82317,7.38933,0.73285,0.0391,5.31358,1.73905,1.666,5.97493,37.16,8.59,4
2016-01-01 19:00:00,64.17587,29.26215,2.5258,13.21048,2.48847,7.00585,3.57025,1.03833,0.03087,0.61578,2.15327,0.24655,2.02807,36.88,7.35,4
2016-01-01 20:00:00,66.99653,30.11588,2.75815,17.42607,2.45285,6.53655,0.42558,0.7517,0.02933,0.02635,2.47038,3.91282,0.09087,36.22,8.08,4
2016-01-01 21:00:00,70.01975,0.0514,19.8842,6.61273,2.5136,6.47225,0.42532,1.04337,0.0371,0.00675,30.23123,0.2523,2.4895,35.33,8.36,4
2016-01-01 22:00:00,74.02257,0.00627,15.58498,11.11873,2.5385,6.77285,0.44007,0.75987,0.0409,0.01238,30.55073,0.25707,5.94022,34.28,7.71,4
2016-01-01 23:00:00,51.78253,0.00392,10.7966,10.10733,2.54337,14.19763,0.43605,0.7562,0.03327,0.0145,6.65203,0.24678,5.99485,33.24,8.57,4
2016-01-02 00:00:00,61.25192,0.00515,15.3708,14.52982,4.89558,8.94835,0.43865,0.75412,0.03148,0.01047,2.87493,3.77003,9.62253,32.4,8.31,5
2016-01-02 01:00:00,64.10972,0.00662,14.2167,10.20393,16.53518,0.54947,0.43227,0.76148,0.05143,6.14067,2.26085,0.82625,12.12487,31.65,7.55,5
2016-01-02 02:00:00,47.07775,0.00127,2.8807,7.36795,27.90597,4.75595,0.4335,0.77828,0.03187,0.01147,2.56573,0.24855,0.09652,31.1,7.15,5
2016-01-02 03:00:00,39.55755,0.00293,5.53103,4.52153,25.3264,0.2903,0.43648,0.78373,0.0449,0.01682,2.25137,0.25362,0.09843,30.6,7.96,5
2016-01-02 04:00:00,70.10077,31.16942,14.7556,12.66987,5.4378,2.39857,0.42328,0.74232,0.04025,0.02952,2.08553,0.25918,0.08943,30.13,8.06,5
2016-01-02 05:00:00,68.62728,25.44132,5.21273,26.4617,3.05522,4.7604,0.43557,0.77417,0.03235,0.02232,2.08073,0.25425,0.09653,29.64,8.04,5
2016-01-02 06:00:00,36.82012,6.3779,10.55163,12.8321,3.06478,0.30372,0.422,0.78078,0.04407,0.01072,2.08107,0.2536,0.09775,28.94,8.04,5
2016-01-02 07:00:00,35.98092,0.01782,4.71228,16.86565,3.0474,7.47942,0.42943,0.79997,0.02435,0.01097,2.23887,0.25588,0.09888,29.12,8.0,5
2016-01-02 08:00:00,49.2424,0.00862,24.66282,17.31405,3.31043,0.29638,0.41893,0.7665,0.0439,0.01028,2.06042,0.25303,0.09703,29.52,7.27,5
